FEN,Evaluation
8/8/2k3p1/5p2/K1P2P2/5PPB/7b/8 w - -,-15
r1k5/1q6/1rb1Q1p1/1n1pP1P1/p2P1B2/R2N4/2B3K1/7R b - -,459
rn3rk1/ppp1bppp/8/1q2P3/5R2/PN3N2/1B3PPP/R2Q3K b - -,325
r1bq1rk1/pp3pp1/2nppn1p/2p5/2P1P3/P1NP4/1P2BPPN/1RBQ1RK1 w - -,452
7k/2Q5/7p/5Pp1/p7/q3NKPP/8/8 b - -,421
6k1/2N2pp1/2n5/r4P1p/7P/6P1/1R4K1/8 w - -,-7
2kr1bnr/p1p2ppp/2p1b3/8/8/8/PP1BQPPP/RN1K1B1R w - -,701
r2q1bnr/2p1kppp/4p3/8/3PQ3/5N2/PPP2PPP/R1B2RK1 b - -,460
5r2/k5p1/8/8/1P3Pp1/P1r4p/3R3P/6K1 w - -,-370
r2qk2r/ppp1bppp/2np4/1B6/4P1n1/4QNP1/PPP1NP2/R1B2bK1 w kq -,-436
8/6p1/5p1p/2n2N1P/5kP1/2R5/1r6/4K3 b - -,-151
8/1p1n1p1k/p1b3p1/P1p5/2P4P/5P2/2P3P1/4NK2 b - -,-463
r1b2rk1/ppp3bp/5np1/2P1np2/BP6/2N1P3/P4PPP/R1B1K2R b KQ -,-477
3r2k1/2R2p1p/B3p1p1/4K3/1P3P2/2N5/1r4nP/8 w - -,-432
8/1pp2kp1/b1np3p/1r3p1P/3B4/4P1P1/P2R1PK1/2R5 b - -,86
r1bqkb1r/1p3p2/2np1n1p/p1p1p3/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,194
1B6/4k3/2b2p2/5P1p/7P/p1K3P1/8/8 w - -,-2
r1b3k1/ppq1p1b1/2p3p1/2Pp2p1/3P4/P3P3/1P1QB1PP/R5K1 w - -,-450
6k1/8/5p2/3p2pQ/2q1n3/1r5P/6P1/1R4K1 w - -,-85
8/7P/5K2/p1pk4/P7/3p2R1/8/7r b - -,-657
8/6k1/3B4/2n1p2p/4P1p1/4K1P1/8/8 b - -,-52
2r5/8/3R4/5p1p/3k1P2/5K2/3B1P1P/8 b - -,456
2rq1rk1/pp1np1bp/4pnp1/3p4/3P4/1N1BP3/PP3PPP/R1BQ1RK1 w - -,92
8/8/7p/P2k2p1/5p2/5P1P/4K1P1/1B6 b - -,467
6k1/2r2p1p/p5p1/1br5/6PP/8/R4P2/4K1R1 w - -,-651
r2bk2r/1q3ppp/4p3/Pp2n3/1p2P3/1Pp2P2/6PP/R1B3K1 w kq -,-1217
r1q1k2r/2pbbpp1/ppn1p2p/8/3PQ3/2P2NP1/PP3PBP/R1B2RK1 b kq -,131
r6r/1p3pk1/2p2npp/p3Bb2/8/2P4P/PP1R1PB1/2KR4 w - -,135
rnbqkb1r/pp2pp2/2p2n2/3p4/3P1P1p/6B1/PPPN2PP/R2QKBNR w KQkq -,-53
r3kb1r/pb3ppp/2p2n2/4B3/1p2P3/1P1B4/P1PKNPPP/R6R b kq -,128
4r1k1/3R4/8/6p1/8/7P/6PK/2r5 w - -,-348
1r6/7k/R6P/1n3KP1/8/8/5P2/8 b - -,27
rn1q1rk1/pB3p1p/3p1p2/8/6P1/6P1/P1P4P/R2QK2R b KQ -,-478
r2qkbnr/pp1b2pp/3p4/2p2p2/8/1NNPP3/PP3PPP/R1BQK2R b KQkq -,-28
1r4k1/5pb1/1p1p2pp/4p3/1PP5/5NPP/2bB1PBK/8 w - -,-320
5R1k/1p4p1/p2p3p/2pQq3/P3P3/2P5/1P4PP/6K1 b - -,723
r1b1k1nr/1p2bppp/pqnp4/2p1p1P1/4P3/3P4/PPP2PBP/R1BQK1NR b KQkq -,-575
8/5P2/6P1/p6p/7P/k1K5/8/8 b - -,730
r1r2k2/1p4pp/1N2p3/3p4/1n1Pnb2/8/PP2BPPP/R2R2K1 b - -,-151
8/p4pk1/1p1N3p/3b3P/8/8/5PK1/8 w - -,-468
r3k2r/ppp2pBp/3p2p1/4p3/3nP3/3P2P1/PPP2PBP/R2bK2R b KQkq -,25
N2r1bk1/1q3pp1/4p2p/p1p5/Pp3P2/1P1P1nP1/1BP4P/R3RQK1 w - -,-79
r3r1k1/8/p1p1b3/2qp1pb1/5P2/P1B3P1/1P2P1B1/2R2RK1 w - -,-471
r2qk2r/1p2ppb1/p1n1b2p/2P2p2/3p4/1N3N2/PPP1PPPP/R2QKB1R w KQkq -,-43
8/3kb3/8/1pB1p3/1P2P1p1/6P1/7K/8 b - -,-205
4rrk1/pb1p2pp/1p6/2bpp3/2P1P3/P1B3P1/5P1P/1R3RK1 w - -,-616
2k4r/ppq1pp2/6p1/P3P3/2p5/2P3pP/1Q4K1/3R4 w - -,-274
1r2r1k1/1p1qb1pp/2n2p2/2p1p3/2P4P/PQ1BBN2/5PP1/1R2R1K1 b - -,350
8/8/2B2k1p/1p2pPpP/3pP1P1/5K2/8/2n5 b - -,-294
1rbqk3/1p1ppp2/p5p1/3P4/3Q4/8/PPP2PPr/R3K1R1 w Q -,-89
5R2/8/8/5KP1/p7/2Q5/P7/5k2 w - -,4098
2q3k1/pp4pp/8/3p2K1/5P2/6Q1/6P1/6r1 b - -,-750
r4rk1/1p2n1p1/1bnq1pb1/p2p2Pp/7P/PN1P1N2/1B2PPB1/2RQK2R w K -,-53
5rk1/ppq4p/6p1/2pP4/4r1n1/2Q3P1/P2RPP2/5RK1 w - -,-144
r1b1kb1r/1p1p1ppp/pqn5/4p3/2P5/5N2/PPQNBPPP/R3K2R b KQkq -,-121
8/1rk2p2/8/8/p2Pp3/q3P1P1/5P2/6K1 w - -,-684
Qn2kbnr/p1p2qp1/3p3p/5p2/2b5/5N2/PP2PPPP/RNB1KB1R b KQk -,575
8/5k2/2p1b3/p3p1p1/2P1P1P1/P7/4BK2/8 w - -,-18
r1b1k2r/1p2bppp/p3p3/2p5/4nBn1/N1P2N2/PP3PPP/R2B1RK1 w kq -,53
r1bq1rk1/pp4pp/2np4/3N1p2/4pB1b/4P3/PP3PP1/2RQKBNR w K -,387
rnb2rk1/pp1qbppp/3p4/2p5/2P1P3/2N2P2/PP2BP1P/R1BQ1RK1 b - -,-3
8/7k/5qp1/4b3/K3P3/8/7q/8 b - -,-4606
5k2/5N2/2p2R2/8/1n2PKP1/5P2/4r3/8 b - -,267
r2qk2r/p1p2ppp/bpnbpn2/3p4/3P3P/2N2NP1/PPP1PPB1/R1BQR1K1 b kq -,14
rnb1kr2/pp3ppB/2pb1q2/3p4/3P4/2N1PN2/PP3PPP/R2QK2R b KQq -,-14
6k1/pp3rp1/4r2p/5p2/4pP2/1P1n3P/P6K/R4R2 b - -,-567
r4rk1/pp1bppbp/1q1p1np1/8/3N1P2/1PN3P1/P1P2QBP/3R1R1K b - -,-209
r2q1rk1/5p1p/p1p3p1/3P1b2/8/1P6/Pb2BPPP/R2Q1RK1 w - -,-514
8/8/8/7p/3k2PP/4p3/8/4q1K1 w - -,-551
r1b2rk1/1pp1qpbp/n4np1/3Pp3/2P1P3/2N1B2P/PP3PP1/R2QKB1R b KQ -,-200
8/3k3r/5p2/p1pp4/P2P4/6P1/4K2P/8 w - -,-516
5R2/1k3p2/3p1rp1/p2R3p/P7/4K3/3P2PP/8 b - -,302
8/3N4/4P3/2b2P2/2k5/3p4/4K3/r4R2 w - -,-232
5k2/p1N2P2/P5P1/8/5K2/8/8/8 w - -,712
N1bq1k1r/p4ppp/2n1p3/8/2pP4/8/PP1Q1PPP/2R1KB1R b K -,441
8/pp4k1/4pn1p/6N1/4P1P1/1r5P/5PK1/n2R4 b - -,-374
4r1k1/1p4p1/p3p2p/8/5n2/2P5/PP1N1PrP/4RR1K w - -,-32
2rqk2r/ppp1bppp/2n2n2/4p3/7P/3P1N2/PPP2PP1/RNBQ1RK1 b k -,-17
r2qkb1r/1p3p2/p2p1p1p/3Ppn2/2P5/2N5/PP3PPP/R2QKB1R w KQkq -,119
8/1b4k1/1p5p/pB1p1Q2/P2q1P1P/1P6/8/5K2 b - -,15
8/1p6/4k1pR/1PP3n1/5KP1/8/8/8 b - -,497
8/6pp/6k1/7r/R1K5/P3P3/8/8 b - -,-326
r2q1rk1/1pp1pp1p/p5p1/3N4/3n4/P2P2B1/1PP2PBP/R4RK1 b - -,-526
6k1/pp4p1/2p1b2p/6P1/8/P1R1B2P/1P4PK/3r4 b - -,13
8/5k2/3Rbpp1/B6p/4B2P/6P1/3p1PK1/8 b - -,510
r6k/1p4bp/p1p1p2p/4P3/8/P1PBQR2/2P3KP/R7 w - -,1156
r1bq1r1k/pp1np1b1/2p3pp/P2p2N1/3Pp3/4P2P/1PP1BPP1/R1BQ1RK1 w - -,192
5k2/8/8/6p1/1r5p/7P/6P1/7K w - -,-571
r1b1k2r/pp2pp2/6pp/2P5/4p3/1Q4B1/P4PPP/b3KBNR b Kkq -,590
5rk1/6pp/3pb3/1qp1p3/r3PpP1/2BP1P2/1P1Q3P/2R2RK1 b - g3,-60
5R2/4Q3/1k4p1/1b2K3/5p2/8/2r3B1/8 w - -,920
8/8/p6p/3p4/1PbB3K/8/R7/3kr3 w - -,-103
rnb1kb1r/pp2pppp/8/1p1pPn2/3P4/5NP1/PPP2P1P/RNBQK2R w KQkq -,564
8/8/8/8/p3k3/P4b1P/1P6/4BK2 w - -,12
r2qkb1r/1p3ppp/p1bp1n2/4p3/2PpP3/1P1P4/P1NBBPPP/R2QK2R b KQkq -,27
1r2n1k1/1q3pb1/p2p3p/1p1b1B2/1P3B2/4P3/P5PP/2RQ1RK1 w - -,311
r1b2rk1/4qppp/1n6/1PNp4/p2P1p2/N3P3/4QPPP/R4RK1 w - -,-3
r1q1k2r/pp1n1pp1/3ppn2/3p3p/3P4/1QP1PN1P/PP1NBP2/R3K2R w KQkq -,458
2R5/1R6/5p2/p3p1p1/8/1K4k1/PP3r2/5r2 w - -,-552
r2qk2r/pp3pp1/2n2n1p/2bp1p2/8/1PP3PP/P3PPB1/RNBQ1RK1 w kq -,-14
rn3rk1/pp2ppbp/1qp3p1/3pPn2/3P1P2/2B2R1P/PPP1B1P1/RN1Q2K1 b - -,-6
r4k2/pp4pQ/4b3/8/4p3/1P2N3/P5PP/q5K1 w - -,-748
2rq2k1/1p3ppp/p1b1pn2/8/7P/BP1BPN2/2Q2PP1/2R3K1 b - -,413
8/1n6/1N6/p3k1p1/P3p1p1/2K1P3/2P3P1/8 w - -,135
r4b1r/pp1kppp1/2n4p/2PQ4/8/2P1P3/PP3PPP/RN2K1Nn b Q -,598
3r1k1b/p6p/1p4p1/3p2p1/6N1/4P1P1/P4PP1/3R2K1 b - -,-172
6k1/4p2p/N4p2/5p2/P1r3P1/5p1P/5b1K/8 w - -,-727
8/R4B2/5kp1/P3p2p/1p2P3/1P3P1n/8/7K w - -,559
4qrk1/6pp/1B3p2/p7/8/3r4/PP3RPP/2R3K1 b - -,-441
r1b3k1/1p3pbp/3R2p1/8/4Bn2/2p4P/P4PPN/2B3K1 b - -,-395
r1bqk2r/pp2nppp/3bp3/8/3NB3/6P1/PPP2P1P/R1BQ1RK1 b kq -,62
rnbq1rk1/ppp2p1p/4pbp1/8/3P4/5NP1/Pp2PPBP/RN1Q1RK1 w - -,-753
rn1q1rk1/ppp1ppbp/6p1/8/3P4/2P3PN/P3PP1P/1RBQKB1R b K -,478
8/p3k1p1/2p5/n3p1p1/2P1P3/P1P5/5KPP/8 w - -,-541
r1b1kb1r/4pppp/p4n2/2P5/Nnp5/4PN2/4KPPP/R1B2B1R b kq -,-4
1R2k2r/5p2/B3p2p/6p1/1b6/4PNP1/bP2KPP1/7R b k -,897
6kr/p2q2pp/2p2b2/2pr4/5Q1P/PP6/2P2PP1/4RK1R b - -,-368
1r1nqbk1/2p3p1/p3bp1p/4pN2/1P2P3/P1B1P2P/2Q2PP1/5RK1 w - -,-547
4n1k1/B3np2/P5p1/6Pp/b2r4/7P/5P1K/2R2B2 b - -,-48
k7/5R2/2p5/K3n2P/1p6/6P1/8/1r6 w - -,-208
5k2/8/4b3/6pR/K7/6P1/7P/8 b - -,417
r4rk1/3b1pp1/1q1P1n1p/p1n1P3/8/P1P4P/2B2PP1/R1BQ1RK1 b - -,31
4r1k1/2q1npb1/2b1p1p1/p1NpP1Pp/Pp1P3N/1P1B4/3B1P1Q/2R3K1 b - -,478
5k1r/3r1pp1/pp6/2PNRQP1/8/8/PP6/5RK1 b - -,1071
r1bq1rk1/pp3ppp/3bpn2/8/2PN4/8/PB2BPPP/RN1Q1RK1 b - -,256
4R3/8/p1p3pk/P7/1P6/5r2/3K4/7q b - -,-699
r1bq1rk1/pp1n2pp/3bpn2/3p1p2/3P4/1PPB1N2/PB1N1PPP/R2Q1RK1 b - -,15
4n3/6p1/1k5p/1P6/2K4P/8/5PP1/5B2 b - -,261
r4qk1/pp2b1p1/4Pn1p/5p2/8/6P1/PP1pQPBP/R4RK1 b - -,268
8/6k1/5pp1/7p/RP5P/3K2P1/5P2/8 w - -,532
r1b3k1/ppp2ppp/3p4/3P4/1P6/3PrP2/P1P4P/R3KB1R w KQ -,-51
2q1kb1r/R2p1ppp/4pn2/2p5/8/1rPP1P2/1P2PP1P/1N2KB1R w Kk -,-716
3q2k1/5p1p/1p3p2/4b3/PP2p3/NQ2P3/5PPP/6K1 w - -,175
r1bq1rk1/pp2bppp/2pp4/3P4/2P5/1PB5/P3BPPP/R2Q1RK1 b - -,89
3b4/8/4k2p/2KP4/6P1/8/6B1/8 b - -,10
2r1kb1r/5ppp/2b5/2QpPP2/4q3/2N5/Pp5P/R1B2RK1 w k -,-601
r3k2r/pppb1p2/5q1p/n3p1p1/1bPp4/3P2PP/PP1NPPB1/R2QK1NR b KQkq -,-112
r1b5/pp3qk1/2pp3p/3Nr1p1/2PQp3/8/PP3PPP/4RRK1 w - -,139
rn2kb1r/1p2ppp1/3q1n1p/pP1p1b2/P2B4/4P3/3P1PPP/RNQ1KBNR w KQkq -,-9
8/4k3/5P2/4P3/8/4b2P/3R2PK/4r3 b - -,14
1r2r3/p4pkp/P1pp2p1/6Nn/1pP1P3/8/2b2PPP/1R4K1 w - -,-811
8/5p2/1p4p1/1b3kB1/6rP/2K5/5P2/8 w - -,-529
rnbq1rk1/pp3ppp/8/3Pp3/8/3Q4/PPPNBPPP/R3K2R w KQ -,176
2r1r1k1/1p3ppp/3p4/5R2/p3P2q/1b2Q3/1P4PP/1N3RK1 w - -,-254
2r4k/4R1pp/1p3p2/p4P2/P2p4/3P4/1q1B1QPP/7K w - -,313
r2qkb1r/pp1n1ppp/2p5/4p3/4P1b1/5N2/PPPBQPPP/2KR1B1R w kq -,35
r2qkb1r/ppp1n2p/5np1/3p2N1/5Bb1/3B1PP1/PPP4P/RN1Q2K1 b kq -,-345
8/8/1pp1bkp1/p3p2p/P3P3/1P1B1P2/2PK2P1/8 b - -,-149
8/7R/6p1/6b1/3N4/k2K3P/6r1/8 w - -,297
8/8/p2k2p1/8/PP3P2/5Kb1/8/8 b - -,-356
3br1k1/Q5pp/1p2p3/8/4q3/1P6/P4PPP/5RK1 w - -,-239
r1b1k2r/pp4pp/5p1n/3p4/1n6/1PN5/P3PPPP/2KR1BNR w kq -,70
r1bq1rk1/p3bppp/5n2/1p1p4/3N3B/P1N5/1PP1BPPP/R3K2R b KQ -,-431
r4rk1/pp3p2/3p1qp1/3Pp3/8/P3Q3/1P3PPP/R3R1K1 b - -,-3
r1bk1bnr/1p3ppp/8/2P5/2pQP3/8/PPP2PPP/R1B1K2R b KQ -,661
7r/8/5p2/2R3k1/8/1PP5/P4K2/8 b - -,270
8/p7/8/7p/P2kp2P/1n4P1/1P2K3/3N4 b - -,24
3nr3/p4pkp/6p1/4p3/2Pp4/N1Q3P1/P4K1P/4R3 w - -,467
3r2k1/1p3pb1/2p3pp/8/P1p5/8/2N1P2P/5RK1 b - -,-503
5rk1/Qp3ppB/2p4p/4q3/8/P1N3P1/1PP1N3/2Kn4 b - -,-8
Q7/8/8/5k1P/4R3/2P5/5P2/5K2 b - -,4121
r1bq2k1/pp3ppp/2p2n2/n3r3/4P3/3B4/PPPQ1PPP/R3K2R w KQ -,-637
rn2kb1r/pp3ppp/3N4/2p2q2/8/3Q4/PPP2PPP/R1B1K2R b KQkq -,431
8/1p6/3Q1ppk/1pK5/q7/5p2/5P2/8 b - -,-610
2k5/8/5B2/4bK2/4P3/2p4P/1r6/8 b - -,-560
6k1/5p2/2K2np1/R7/7P/8/8/8 b - -,21
r2r2k1/1pq2p1b/2pb1p1p/3p4/p2P4/P1NP1P2/1PQ2BPP/R4RK1 w - -,-56
r7/1p3pp1/r1k1p3/p1PnP1Pp/1P2R2P/P7/3B1PK1/1R6 b - -,9
4r3/5pk1/N1p4p/6p1/3n4/P4P1P/1P3K1P/R7 w - -,10
r7/6k1/6p1/1pR5/1P5P/6P1/B5K1/8 w - -,450
8/8/6k1/2R4p/P5pP/3K4/1P6/8 w - -,725
8/8/1kp4P/8/2p5/3Q3K/1p6/8 w - -,548
r1b2rk1/1n3pp1/1B5p/Pp1Pp3/1R2N1q1/3Q4/B1R2PPP/6K1 b - -,380
r1b1qrk1/1pp2p2/p2p1p1p/2b1p3/2PnP2N/P1NP3P/1P2BPP1/R2QK2R b KQ -,72
6k1/1p2pp2/p5pB/8/2b5/5PP1/7P/6K1 b - -,-316
3r4/6p1/1B1bkp2/2p4p/P6P/1P1P2P1/2P3K1/5R2 b - -,331
r4rk1/pq3ppp/1p6/2p5/5P2/3P3P/PP2RP2/R4QK1 b - -,-124
3k4/rp1n1R2/4p3/4P3/3P3P/8/3b2P1/5RK1 b - -,34
8/5k2/8/5pR1/5r2/P5KP/6P1/8 b - -,237
8/5b1k/3R4/5Pp1/4PK1p/4B2P/6r1/8 w - g6,248
3b4/8/4p3/4P3/p2B2K1/1k6/1P6/8 w - -,-169
2r2rk1/6p1/p1nqp1b1/1p1P2pp/1PnP3P/P1N5/Q4PB1/2RR2K1 b - -,-365
r1bqk2r/pp1n2pp/2p2n2/3p4/8/2N1PN2/PP2P1PP/R2QKB1R w KQkq -,-190
8/6p1/2k4p/1r1Np2P/4P1P1/5K2/1n6/8 w - -,-418
2rq1rkb/p2bpp1p/R4np1/3pB3/3Nn3/2P2NP1/1P2PPBP/2QR2K1 b - -,75
r4Qk1/2q2p2/1n2p1pp/p1pp4/8/3PNN1P/PP2QPP1/2q2RK1 b - -,442
1rb2rk1/pp3ppp/2nQp3/2p5/P3P3/1P3NP1/2P2PBP/qN3RK1 b - -,-203
8/1p4r1/2p3pp/5k2/r2P3P/4P3/4K1R1/6R1 w - -,-13
r2qkbnr/pb3ppp/1p2p3/2p5/P7/1P3N2/1BPPNPPP/R2Q1RK1 w kq -,-17
8/8/6Np/pp3P2/4b1PP/4k3/8/K5n1 b - -,-337
3q4/1k6/7p/6p1/6P1/4R3/7K/8 w - -,-152
r2qkb1r/1p3ppp/p1n1bn2/2p5/Q1Pp2PP/N2P1P2/PP4B1/RNB1K2R b KQkq -,-238
r1bq1rk1/pppn1p2/5p1p/3Pp3/8/P1P3P1/1P2PPBP/R1BQ1RK1 b - -,378
8/2r5/8/6p1/5pPp/K4k1P/1R6/8 b - -,-689
8/1P4k1/3P1p2/2PQp1p1/Pq6/6P1/5P2/6K1 w - -,526
r1bqk2r/pppp1ppp/2n5/8/1b1PNP2/8/P1P1B1PP/R1BQK1R1 w Qkq -,-118
r3kb1r/pbp4p/1p2pnp1/5p2/2n4P/2N2NP1/PP2PPB1/R1BR2K1 b kq -,-39
r2q1rk1/ppp1b1pp/2n1p3/5b2/1PQ4P/P1P2N2/5PP1/RNB2RK1 b - -,-85
r1b1k2r/ppp2ppp/1bn5/3q4/1P3B2/P2P2P1/2P1N2P/R2QKB1R w KQkq -,-373
8/4k3/6R1/1P6/2P2p1p/4rBb1/6K1/8 w - -,69
4r1k1/pp3ppp/2nQ4/q7/4p2P/6P1/bP1RPPB1/2K4R w - -,-37
6k1/5p1p/1n2p1p1/4P1P1/5n2/P7/1Pr4P/R1B2RK1 b - -,235
r2qkb1r/1p3ppp/p1np4/2p1p3/P1B1P1b1/2NP1N2/1PP2P2/R1BQ1RK1 w kq -,108
1r4k1/p6p/3Rbp2/B7/1p6/1P5P/P4PP1/6K1 b - -,129
r2qk1Q1/pppb1pp1/2n1p3/8/1b1P4/2N1PN2/PP3PPP/R1B2RK1 b q -,588
8/8/R5P1/4p3/3r1p2/7P/1k3K2/8 b - -,160
r1b2rk1/2pp1ppp/p1n2q2/4p3/2P1P3/P4N2/1P1BBRPP/R2Q2K1 b - -,575
r1bq1rk1/p3bppp/1pR5/3p4/4n3/1P2PN2/PB1PNPPP/3QK2R b K -,93
r3r1k1/1p3ppp/1B6/8/8/PBn5/5PPP/R5K1 b - -,-269
r1bqkr2/1ppp3p/p5pb/3P1p2/3P3P/P1NQP3/1P3PP1/R1B1K2R b KQq -,157
r1bqkbnr/3p4/2n4p/p1p2pp1/Pp6/3PBNP1/1PP2PBP/RN1Q1RK1 w kq -,173
r1bq1rk1/1p1pbppp/p1n5/3QP3/8/2P2N2/P2N1PPP/R1B2RK1 b - -,-24
2rqk2r/pp1nbpp1/4pn1p/1B1p1b2/8/1PN1PN2/PB1P1PPP/2RQ1RK1 w k -,-9
Q7/8/4kp2/8/7P/2K3p1/5bP1/8 b - -,410
r2q1rk1/1pp5/p1n2b1p/5pp1/P1PPp3/4P2N/1B1Q1PPP/2R2RK1 b - -,-7
B2k3r/p1p5/3bb3/4ppp1/8/1P4P1/P4N1P/B4R1K b - -,137
r1bq1rk1/pp1p1pp1/7p/2pNP3/4n3/8/PPP3PP/R1BQKB1R w KQ -,245
6k1/3r1pb1/2P1n1pp/B3P3/P1P5/6R1/8/5R1K b - -,330
r3k2r/ppp1bppp/2n1bn2/3Pp3/8/P1NP2P1/1P2NPBP/R1BQK2R b KQkq -,893
2r1kb1r/1p3pp1/pq3n2/8/4P1P1/2B1N3/bP4BP/2RQR1K1 b k -,-16
r3kb1r/p3p1pp/3pnn2/1Pp2p2/8/4P3/PP1N1PPP/R1B1KB1R b KQkq -,43
8/8/P1p3k1/8/8/2P3pP/K2B2P1/8 b - -,675
2r2rk1/3q1ppp/p3p3/1p1bP3/P2b4/5N2/2QB1PPP/R1R3K1 w - -,-346
8/1p4k1/2p1p1pp/8/3P3r/3QP2b/2P2P1K/R7 w - -,357
r1bq1rk1/ppp2ppp/2n1p3/3n4/P1B5/2P1PN2/3P1PPP/R1BQ1RK1 b - -,76
r2qk1nr/pp2ppb1/2n3p1/7p/2PpPPb1/R2P1N2/4B1PP/1NBQK2R w Kkq -,-64
5r2/7R/4k3/2p5/4p1PP/2K5/8/2n5 w - -,-324
1r3rk1/6p1/p1pp3p/Pp2pPq1/6P1/3P4/1bP1QPP1/R4RK1 w - -,-414
rnb2rk1/1pp1bppp/p3pn2/8/3P4/PP1BPP2/1B3P1P/RN1Q1RK1 b - -,675
rnb2rk1/1pp2ppp/p7/2b4n/2P2p2/5N2/PP2B1PP/RNBQ1R1K w - -,630
2k1b3/1p3ppp/p2r4/2pP4/5q2/5P2/PP4PP/R2Q2K1 b - -,-548
8/8/3Pbkp1/b7/8/p3B3/7P/3K4 w - -,-510
r1bq1rk1/pp3pp1/3bpn2/3p3p/3P4/5N2/PPBN1PPP/R1BQK2R w KQ -,368
rnbq1rk1/1p2ppbp/p1p3p1/3pP1B1/3P4/3P1N2/PP3PPP/RN1Q1RK1 w - -,7
r1bqr1k1/pp1n1pb1/2p2npp/4p3/2P5/2N2NP1/PP1B1PBP/R2Q1RK1 b - -,-187
r2q1rk1/1p2bp1p/p2p1n2/4pPp1/2Pp4/3P4/PP2BPPP/R1BQ1RK1 b - -,56
8/1P6/6pk/r4b1p/3Q4/7P/6PK/8 b - -,598
3k4/pb3pp1/1p5p/4p3/2P1P3/1P3B2/P4KPP/8 w - -,-39
rnb1kb1r/p2ppppp/1p6/2p3q1/2R5/1P6/P3PPPP/3QKBNR w Kkq -,-448
2r3k1/pQ5p/5p1q/3P3p/3p4/P2P2P1/1P3RKP/8 b - -,297
r4r1k/2qnb1p1/p1p1p2p/P3p3/1p6/3P1NNP/1PP1QPP1/RR4K1 w - -,115
r2qk2r/pp1b1p1p/4p1pn/3pP3/P2p1N2/8/1PP1QPPP/RN2K2R w KQkq -,-57
r1bq1rk1/ppn1bppp/2p3n1/3pP3/P2P4/2NB1NQ1/1PPB2PP/R3K2R b KQ -,57
r1b1kbnr/ppn3p1/4p3/q2p1p1p/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,169
r2qkr2/pp1nppbp/6p1/3Q4/3P4/5PPP/PP2BP2/R1B1K2R b KQq -,207
3rkb1r/pp1b1ppp/4pn2/8/3P4/4PP2/PPP4P/R2QKBNR w KQk -,502
r1b3k1/pp3r2/2p5/4p1qp/4P1P1/2P2BnP/PPQ5/R2R2K1 w - -,-365
r1bqkbnr/1p2pp2/p6p/2pPN1p1/P1B1P3/2N5/1P3PPP/R1BQK2R b KQkq -,583
r4rk1/ppp1q1bp/3pn1p1/4p3/2P1P3/P2PB1PB/1P5P/R2Q1RK1 b - -,7
rn1qkbnr/1b1p1pp1/p6p/1ppP4/8/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,180
3B4/8/2P5/7k/R4p2/2P1b3/1P5K/8 w - -,733
r1bq1rk1/1p1pnppp/p7/2p1N3/4n1P1/1P6/PBPP1P1P/R2QKB1R b KQ -,-40
r2qk2r/pp1npp1p/3p1np1/2p5/2N1P3/3P1N2/PPP2PPP/2RQ1RK1 b kq -,25
rn2kb1r/ppp1pp2/4bnp1/7p/8/2N3PP/PPPNBP2/R1BQK2R w KQkq -,779
r2qk2r/pp2ppbp/6p1/2p1n3/6b1/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,-246
5rk1/p5p1/p3p2q/P1p1n2p/4P2P/2NP4/1PP3P1/1K5R b - -,-535
r1b2r2/pp1qppkp/1np3p1/3p4/3Pn3/2P2NPP/PP2PPB1/RNQ2RK1 w - -,-3
8/8/3k1RNp/8/6P1/2n1K2P/1pb5/8 b - -,-198
2K1B3/2b5/3k3p/7P/5p2/8/8/8 b - -,-17
8/1p6/2p5/2k3R1/7P/4K1P1/p7/1r6 b - -,-461
8/3k4/RP3n2/4b3/8/8/6Kp/8 w - -,-11
4r1k1/4rpbp/p4p2/8/7P/qPNQ4/P2P2P1/1K1R3R b - -,44
r1bq1rk1/1p1nbppp/p2p4/2p5/8/2N1PN1P/PPP1B1P1/R2Q1RK1 b - -,-151
r2q1rk1/pp1bppbp/3p1np1/6B1/2P1P3/1QPP3P/P3BPP1/R4RK1 b - -,-360
rnbqkb1r/pp1pp2p/5np1/2pP1p2/7P/P1P2N2/1P2PPP1/RNBQKB1R b KQkq -,48
r2q1rk1/1p1b1pp1/2p2np1/p7/2PP3N/P3P1N1/1P1B3P/R2QK2R w KQ -,309
8/7R/2P2k1P/p3r3/7P/8/5K2/8 b - -,89
2r3k1/pp3pp1/2n2n1p/2Bp4/8/2Pq3P/PP3PP1/4R1K1 w - -,-730
r1bqk2r/pp3ppp/2n1p3/2Pp4/6P1/2P1P3/PP1NBP1b/R1BQKR2 w Qkq -,-19
8/B2k4/4p3/2P1P3/p4r2/8/4K3/8 b - -,-488
r1b2rk1/pppnqpb1/4p1pp/3p4/3P4/PP2P3/2PNBPPP/R1BQ1RK1 w - -,-7
r1bqkb1r/pp3pp1/2n1p3/2p4p/8/6P1/PPPPN1BP/R1BQ1R1K w kq -,-111
3R4/1kr2p2/5ppp/3R4/3P4/5P2/1r4PP/6K1 w - -,9
8/8/3k1p1p/1p4bP/1P1K2P1/5p2/B7/8 w - -,-24
1r6/3P1pk1/1p4p1/p1p1P2p/P2p1P1P/1P4P1/4q1K1/6R1 w - -,-507
